index,date,open,high,low,close,volume,returns,return_1,return_3,return_5,momentum_5,momentum_10,volatility_5,volatility_10,ma_10,ma_20,ma_ratio,price_ma_ratio,zscore,rsi,rangeocp,rangehlp,vwap_d,atrr_14,garch_vol,garch_vol_change,vol_ratio
0,02-02-2015,8802.5,8840.799805,8751.099609,8797.400391,210100,-0.001306351,-0.001305498,-0.013113696,-0.004323331,-0.000831436,0.003314468,0.009290687,0.008466212,8795.625,8549.555029,1.028781611,1.000201849,0.880879572,77.10242311,0.057967231,1.019621608,8796.433268,117.4732118,0.016690361,0.008224149,1.971408028
1,03-02-2015,8823.150391,8837.299805,8726.650391,8756.549805,208700,-0.004654298,-0.004643484,-0.021871331,-0.017277391,-0.003455556,0.002416701,0.007725284,0.008814887,8816.209961,8568.4625,1.028913876,0.993232902,0.667072115,75.61204068,0.760580222,1.263618851,8773.5,116.9857977,0.016690361,0.007875474,1.893428603
2,04-02-2015,8789.150391,8792.849609,8704.400391,8723.700195,195300,-0.003758487,-0.003751433,-0.009672058,-0.021381333,-0.004291131,0.000346967,0.007420356,0.007329014,8819.02002,8598.280005,1.025672578,0.989191563,0.475429404,74.69150348,0.750257274,1.013895672,8740.316732,114.9474706,0.016690361,0.009361347,2.277299381
3,05-02-2015,8733.099609,8838.450195,8683.650391,8711.700195,173600,-0.00137651,-0.001375563,-0.009741536,-0.026881146,-0.005419923,-0.000180446,0.006105548,0.00723419,8817.240039,8628.76001,1.021843235,0.988030286,0.349445423,65.56487303,0.245639928,1.776918411,8744.60026,117.7940659,0.016690361,0.009456171,2.307149516
4,06-02-2015,8696.849609,8726.200195,8645.549805,8661.049805,171300,-0.005831032,-0.005814065,-0.010906122,-0.016784227,-0.003378009,-0.001127285,0.00199877,0.00729588,8807.20498,8650.08252,1.018164273,0.983405044,0.050198168,60.08769465,0.413342557,0.931184931,8677.599935,115.1409463,0.016690361,0.009394481,2.287641635
5,09-02-2015,8584.400391,8605.549805,8516.349609,8526.349609,146800,-0.015674617,-0.01555241,-0.022622348,-0.030810327,-0.006227391,-0.003529413,0.005461368,0.007727041,8776.27998,8662.175,1.013172786,0.97152206,-0.667940497,48.52893112,0.680839796,1.046170981,8549.416341,117.2523212,0.016690361,0.00896332,2.159993549
6,10-02-2015,8478.099609,8646.25,8470.5,8565.549805,196200,0.004586999,0.004597536,-0.016776334,-0.021812244,-0.004379187,-0.003917371,0.007363714,0.007131697,8741.784961,8674.30249,1.007779585,0.979839912,-0.576122025,40.99315953,-1.020952505,2.051823923,8560.766602,121.4307268,0.016690361,0.009558664,2.340306696
7,11-02-2015,8603.299805,8651.950195,8593.650391,8627.400391,161600,0.007194909,0.007220854,-0.003885143,-0.011038871,-0.00218473,-0.00323793,0.009041375,0.0078763,8713.09502,8690.70249,1.002576608,0.990164846,-0.377843198,43.19245525,-0.279349339,0.675751699,8624.333659,118.92856,0.016690361,0.008814061,2.119060873
8,12-02-2015,8676.950195,8732.549805,8599.25,8711.549805,158800,0.009706479,0.009753739,0.021720924,-1.73E-05,4.11E-05,-0.002689396,0.010536672,0.008613649,8689.015039,8712.40249,0.997315614,1.002593478,-0.006250288,46.89268701,-0.397169392,1.530150291,8681.116536,119.9550774,0.016690361,0.008076712,1.937664275
9,13-02-2015,8741.5,8822.099609,8729.650391,8805.5,221900,0.010726817,0.010784556,0.028013403,0.016678139,0.003360855,-8.58E-06,0.010841135,0.008162461,8688.675,8727.969971,0.995497811,1.013445663,0.607162272,48.16890163,-0.726818466,1.049903115,8785.75,119.2832722,0.016690361,0.0085279,2.044770494
10,16-02-2015,8831.400391,8870.099609,8793.400391,8809.349609,136400,0.000437087,0.000437182,0.021089692,0.033191226,0.006558773,0.000165691,0.00417803,0.008150289,8689.869922,8742.747461,0.99395184,1.013749307,0.562691969,43.26427094,0.250311115,0.870656997,8824.283203,116.2415541,0.016690361,0.008540072,2.047824188
11,18-02-2015,8811.549805,8894.299805,8808.900391,8869.099609,147600,0.006759668,0.006782567,0.018085164,0.03543845,0.00699578,0.001308296,0.004033376,0.008201926,8701.124902,8758.667432,0.993430219,1.019304941,0.982164448,47.19879733,-0.6488799,0.962887078,8857.433268,114.0385441,0.016690361,0.008488435,2.034931673
