,run_id,score,sharpe,sortino,calmar,max_drawdown,cagr,profit_factor,expectancy,win_rate,num_trades,n_components,covariance_type,xgb_params
1,257604a4,3.390277889765167,0.2474436230479885,0.5563557725592032,1.813372878186433,-0.06154814069105625,0.0280473572725235,1.5725878244913347,25.121359003278155,0.5233340677995074,17.681818181818183,2,diag,"{'max_depth': 5, 'learning_rate': 0.05}"
0,4613261f,3.26793937626916,0.32013800922919455,0.6207536193975048,2.214599267010866,-0.05843424272446718,0.03479337244347724,1.5476033300785985,22.80275949694592,0.5297098044235337,17.681818181818183,2,diag,"{'max_depth': 3, 'learning_rate': 0.1}"
2,9f62cf25,3.2526904812639894,-0.15609838337043527,0.10306336339083995,1.4521419877504447,-0.052536895555346914,0.007454284728982231,2.0722417719601065,25.61072484316778,0.5668821746474434,18.09090909090909,3,diag,"{'max_depth': 3, 'learning_rate': 0.1}"
3,e52d49e1,3.0065367313972717,-0.1913777767396165,-0.02956113429683668,1.244762175447748,-0.05481475010945007,-0.0011951730117358182,1.8667315951736478,24.394727050321055,0.550003628762929,18.181818181818183,3,diag,"{'max_depth': 5, 'learning_rate': 0.05}"
