run_id,n_components,long_threshold,short_threshold,xgb_params,feature_config,sharpe,sortino,calmar,max_drawdown,cagr,profit_factor,win_rate,expectancy,num_trades
9a3a7469,2,0.62,0.38,"{'max_depth': 5, 'learning_rate': 0.05}","{'returns': True, 'momentum': True}",-1.7665200642082834,-1.4724965110560984,-2.7661895423066447,-0.03465612104810023,-0.09586539962016805,0.0,0.0,-96.23984375,5
d87092e2,2,0.62,0.38,"{'max_depth': 5, 'learning_rate': 0.05}","{'returns': True, 'momentum': True}",2.101986686104776,1.8009449489676224,5.873722563951459,-0.02394077776442062,0.14062148655342477,0.7277431680858919,0.35294117647058826,-8.005974264705882,17
bac8dda8,2,0.62,0.38,"{'max_depth': 5, 'learning_rate': 0.05}","{'returns': True, 'momentum': True}",-1.661691691128368,-0.8118245936576353,-2.83663538382251,-0.026985662295656687,-0.07654848452374474,14.345007358627054,0.5714285714285714,74.63560267857143,7
3c24bfd1,2,0.62,0.38,"{'max_depth': 5, 'learning_rate': 0.05}","{'returns': True, 'momentum': True}",0.9051736271811914,1.071675049816909,2.4568956423488775,-0.022921750147589653,0.056316348052622756,5.763922847052432,0.6,65.075,10
1ecae13c,2,0.62,0.38,"{'max_depth': 5, 'learning_rate': 0.05}","{'returns': True, 'momentum': True}",0.9356770438405868,0.9997648021462844,1.8306405629547684,-0.0497451422180967,0.09106547515440155,0.9866892760700625,0.6,-0.6934895833333333,15
fa4df3a1,2,0.62,0.38,"{'max_depth': 5, 'learning_rate': 0.05}","{'returns': True, 'momentum': True}",1.1337739318401552,0.7659743286006138,2.074634343274604,-0.055516091156147265,0.11517558931690663,0.5935341742339313,0.29411764705882354,-26.847081801470587,17
1e3d80f2,2,0.62,0.38,"{'max_depth': 5, 'learning_rate': 0.05}","{'returns': True, 'momentum': True}",-0.44786966046218024,-0.2823655723062236,-0.924374023525432,-0.0662503366283518,-0.06124009022906385,0.3440709114216166,0.5,-68.37516276041667,12
70ced1eb,2,0.62,0.38,"{'max_depth': 5, 'learning_rate': 0.05}","{'returns': True, 'momentum': True}",1.3517757353617577,1.8343294871865143,4.402949972380496,-0.10883924177639857,0.47921373657330824,1.5313597491019675,0.6,62.1451171875,10
f813c955,2,0.62,0.38,"{'max_depth': 5, 'learning_rate': 0.05}","{'returns': True, 'momentum': True}",-1.2551422122521074,-1.6127837343701812,-1.289905108551967,-0.0832252566815998,-0.1073526837541443,1.3595895091847081,0.375,13.80938720703125,16
8e3e2d15,2,0.62,0.38,"{'max_depth': 5, 'learning_rate': 0.05}","{'returns': True, 'momentum': True}",3.418748082118193,,485.1231002574008,-0.00018530340410821054,0.08989496188922508,2.8521989710638853,0.7142857142857143,47.614536830357146,7
cdb1412c,2,0.62,0.38,"{'max_depth': 5, 'learning_rate': 0.05}","{'returns': True, 'momentum': True}",-2.350524552420216,-1.7301909749268525,-2.197616846923403,-0.06442094209423964,-0.14157254764097804,0.05231916448815337,0.2,-228.4099609375,5
4e8401b8,2,0.62,0.38,"{'max_depth': 5, 'learning_rate': 0.05}","{'returns': True, 'momentum': True}",1.8396875503066652,3.2431188691263784,6.721023950119526,-0.02995030656569182,0.2012967277414368,0.5348214466979313,0.42857142857142855,-63.932198660714285,14
bd6777e8,2,0.62,0.38,"{'max_depth': 5, 'learning_rate': 0.05}","{'returns': True, 'momentum': True}",1.176816832489155,1.1815182637756938,3.495454927517668,-0.032905160968964606,0.11501850704972938,0.8784701534128772,0.5833333333333334,-12.333251953125,12
06c76123,2,0.62,0.38,"{'max_depth': 5, 'learning_rate': 0.05}","{'returns': True, 'momentum': True}",1.6554294841984436,2.3260065422573084,5.2428904297749295,-0.032530978638837714,0.17055635657677493,2.2622680991680086,0.5714285714285714,83.98590959821429,14
c69b1ee9,2,0.62,0.38,"{'max_depth': 5, 'learning_rate': 0.05}","{'returns': True, 'momentum': True}",1.9751014430481935,1.7972608656293245,5.163589643745413,-0.028084886371040545,0.14501882841127167,2.8968288730235208,0.6923076923076923,78.07662259615384,13
dc9df55e,2,0.62,0.38,"{'max_depth': 5, 'learning_rate': 0.05}","{'returns': True, 'momentum': True}",-0.8874169143505128,-1.0851598531815592,-1.413016833392562,-0.033774800526634174,-0.04772436168861005,0.3467296278646623,0.375,-92.03759765625,8
9057aae2,2,0.62,0.38,"{'max_depth': 5, 'learning_rate': 0.05}","{'returns': True, 'momentum': True}",0.1894182139442316,0.22193942135371086,0.28232051639751804,-0.03091398835842391,0.008727653157257098,4.062481048089259,0.5555555555555556,85.47764756944444,9
96a3b7d1,2,0.62,0.38,"{'max_depth': 5, 'learning_rate': 0.05}","{'returns': True, 'momentum': True}",-0.5565030526585472,-0.6603787567723373,-1.1541397390013386,-0.07165598714245233,-0.0827010222984732,0.18817434560122837,0.3,-99.96015625,10
b7c875a3,2,0.62,0.38,"{'max_depth': 5, 'learning_rate': 0.05}","{'returns': True, 'momentum': True}",1.9018883671265792,8.746059737887887,9.645176328860666,-0.01176086838229527,0.11343564932776018,2.664877274722307,0.6,77.05,5
2d269227,2,0.62,0.38,"{'max_depth': 5, 'learning_rate': 0.05}","{'returns': True, 'momentum': True}",0.4189944461450657,0.39371661628247706,0.9581071232605676,-0.02635432448992801,0.02525026602252045,0.4684994449638518,0.375,-100.7626953125,8
94cbab5f,2,0.62,0.38,"{'max_depth': 5, 'learning_rate': 0.05}","{'returns': True, 'momentum': True}",2.4472208005026355,5.284079941515262,8.127771613547461,-0.0322621712947936,0.26221956004122915,0.8399791571161642,0.5,-15.71484375,20
c4e5f6ea,2,0.62,0.38,"{'max_depth': 5, 'learning_rate': 0.05}","{'returns': True, 'momentum': True}",2.267710912079347,3.954946459584946,6.528431726386733,-0.018691001151601442,0.12202292491604583,0.7190394239405543,0.3333333333333333,-28.633723958333334,15
39300ffb,2,0.62,0.38,"{'max_depth': 5, 'learning_rate': 0.05}","{'returns': True, 'trend': True}",-1.4877916629056296,-1.2426260855268887,-2.596368605204183,-0.03203938240348381,-0.0831860466025367,0.23252541376123667,0.2857142857142857,-66.27134486607143,7
4fd2e9ef,2,0.62,0.38,"{'max_depth': 5, 'learning_rate': 0.05}","{'returns': True, 'trend': True}",0.43270421736875353,0.4365186842164393,0.7684600457331172,-0.03462826531873685,0.026610438350495036,0.4930867421173917,0.4375,-23.60321044921875,16
e7597e27,2,0.62,0.38,"{'max_depth': 5, 'learning_rate': 0.05}","{'returns': True, 'trend': True}",-0.45916156077340337,-0.2642439737772366,-1.0909756982110534,-0.024664571149435877,-0.026908447730832008,2.4730938266557647,0.6666666666666666,50.044270833333336,9
265c0610,2,0.62,0.38,"{'max_depth': 5, 'learning_rate': 0.05}","{'returns': True, 'trend': True}",1.809632421176767,1.9076584519564201,5.342054403113892,-0.02221247520552556,0.11866025097573596,2.9704274920567353,0.5,50.62998046875,10
da5f7c51,2,0.62,0.38,"{'max_depth': 5, 'learning_rate': 0.05}","{'returns': True, 'trend': True}",0.025629544176371963,0.029554405590869037,-0.04790418031598489,-0.05037853652619858,-0.0024133424978064477,0.6683228709194519,0.5,-19.5814208984375,16
6229e750,2,0.62,0.38,"{'max_depth': 5, 'learning_rate': 0.05}","{'returns': True, 'trend': True}",-0.7242304508377752,-0.5408568545465122,-0.9910103561156457,-0.07604482431239055,-0.07536120842257388,0.6140903753463038,0.4117647058823529,-27.582318474264707,17
c946eed7,2,0.62,0.38,"{'max_depth': 5, 'learning_rate': 0.05}","{'returns': True, 'trend': True}",-1.095828837229091,-0.6981962607536406,-1.9795586526940514,-0.0662503366283518,-0.13114642711654745,0.4515882435130061,0.5,-66.6951171875,10
b00080a3,2,0.62,0.38,"{'max_depth': 5, 'learning_rate': 0.05}","{'returns': True, 'trend': True}",1.4341830349188007,2.003498529835798,4.860375591742321,-0.10883924177639863,0.5289995941537491,0.6977415373681203,0.375,-46.10009765625,8
